model,step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
model_a,0,36.39426798457884,34.690061857503004,0.9859795764138707,2,2,4.0,1.1995731048900118,1.1996,-0.8,0.0,1.9996
model_a,1,34.690061857503004,33.15433182445089,1.5475665564929613,2,2,8.0,0.3849172002094312,0.3849,-1.6,0.0,1.9849
model_a,2,33.15433182445089,31.587980603290887,1.4454959294666516,2,2,12.0,-0.45107810719980246,-0.4511,-2.4,0.0,1.9489
model_a,3,31.587980603290887,29.662264562689053,0.2476131979938856,2,2,16.0,-1.3227031154953703,-1.3227,-3.2,0.0,1.8773
model_a,4,29.662264562689053,27.81630492466347,0.5134678732480578,2,2,20.0,-2.216695065791451,-2.2167,-4.0,0.0,1.7833
model_a,5,27.81630492466347,27.906184291798567,0.29959789045032315,0,0,20.0,-2.211602402296135,-2.2116,-4.0,0.0,1.7884
model_a,6,27.906184291798567,25.94399357473882,0.12603094313416713,2,2,24.0,-3.133209446570265,-3.1332,-4.8,0.0,1.6668
model_a,7,25.94399357473882,26.009615206487275,0.21873877249485119,0,0,24.0,-3.128817293304472,-3.1288,-4.8,0.0,1.6712
model_a,8,26.009615206487275,24.130988295093342,0.40457696202022786,2,2,28.0,-4.0617828743645035,-4.0618,-5.6,0.0,1.5382
model_a,9,24.130988295093342,24.531615468483206,1.3354239112995423,0,0,28.0,-4.032283114523402,-4.0323,-5.6,0.0,1.5677
model_a,10,24.531615468483206,23.08983540350475,1.8607331167384773,2,2,32.0,-4.9407531187687646,-4.9408,-6.4,0.0,1.4592
model_a,11,23.08983540350475,23.674577061112814,1.949138858693543,0,0,32.0,-4.896022309101492,-4.896,-6.4,0.0,1.504
model_a,12,23.674577061112814,22.08212153415812,1.3584815768176863,2,2,36.0,-5.819671605058548,-5.8197,-7.2,0.0,1.3803
model_a,13,22.08212153415812,22.246147039006374,0.5467516828275126,0,0,36.0,-5.8066947347418765,-5.8067,-7.2,0.0,1.3933
model_a,14,22.246147039006374,20.469294670705317,0.7438254389964742,2,2,40.0,-6.7489989443862,-6.749,-8.0,0.0,1.251
model_a,15,20.469294670705317,21.00710170093323,1.792690100759713,0,0,40.0,-6.705617954213086,-6.7056,-8.0,0.0,1.2944
model_a,16,21.00710170093323,20.554906378497957,1.8260155918824201,1,1,42.0,-7.142083639423122,-7.1421,-8.4,0.0,1.2579
model_a,17,20.554906378497957,21.077193465557695,1.7409569568657928,0,0,42.0,-7.0999775518508015,-7.1,-8.4,0.0,1.3
model_a,18,21.077193465557695,20.727106845513642,2.1663779331864883,1,1,44.0,-7.5281835984235235,-7.5282,-8.8,0.0,1.2718
model_a,19,20.727106845513642,21.028169353947504,1.003541694779546,0,0,44.0,-7.503922207190702,-7.5039,-8.8,0.0,1.2961
model_a,20,21.028169353947504,21.254285306266674,0.7537198410638981,0,0,44.0,-7.485744782453301,-7.4857,-8.8,0.0,1.3143
model_a,21,21.254285306266674,21.59808826640829,1.146009867138718,0,0,44.0,-7.458201208004108,-7.4582,-8.8,0.0,1.3418
model_a,22,21.59808826640829,21.15150827904097,1.8447333754422754,1,1,46.0,-7.894001612409542,-7.894,-9.2,0.0,1.306
model_a,23,21.15150827904097,21.64717717023642,1.652229637318167,0,0,46.0,-7.854279341748019,-7.8543,-9.2,0.0,1.3457
model_a,24,21.64717717023642,21.23323002751697,1.9535095242684952,1,1,48.0,-8.28743552897348,-8.2874,-9.6,0.0,1.3126
model_a,25,21.23323002751697,21.87885411263634,2.1520802837312267,0,0,48.0,-8.235811875924174,-8.2358,-9.6,0.0,1.3642
model_a,26,21.87885411263634,21.712236631844583,2.7779417306941405,1,1,50.0,-8.649086162880156,-8.6491,-10.0,0.0,1.3509
model_a,27,21.712236631844583,21.278445819633262,1.8873639592956022,1,1,52.0,-9.08380519617393,-9.0838,-10.4,0.0,1.3162
model_a,28,21.278445819633262,21.981035172442436,2.341964509363911,0,0,52.0,-9.027690509327194,-9.0277,-10.4,0.0,1.3723
model_a,29,21.981035172442436,20.320139631237577,1.130348195983799,2,2,56.0,-9.96105269874076,-9.9611,-11.2,0.0,1.2389
model_a,30,20.320139631237577,20.320139631237577,0.0,0,0,56.0,-9.96105269874076,-9.9611,-11.2,0.0,1.2389
model_a,31,20.320139631237577,20.320139631237577,0.0,0,0,56.0,-9.96105269874076,-9.9611,-11.2,0.0,1.2389
model_a,32,20.320139631237577,20.320139631237577,0.0,0,0,56.0,-9.96105269874076,-9.9611,-11.2,0.0,1.2389
model_a,33,20.320139631237577,20.530382569571113,0.7008097944451251,0,0,56.0,-9.94406427192734,-9.9441,-11.2,0.0,1.2559
model_a,34,20.530382569571113,20.900049323811746,1.232222514135441,0,0,56.0,-9.91423962930373,-9.9142,-11.2,0.0,1.2858
model_a,35,20.900049323811746,20.977138140141413,0.25696272109888474,0,0,56.0,-9.90803030680886,-9.908,-11.2,0.0,1.292
model_a,36,20.977138140141413,21.257593698074597,0.934851859777285,0,0,56.0,-9.885479154931112,-9.8855,-11.2,0.0,1.3145
model_a,37,21.257593698074597,21.29752057818962,0.13308960038340523,0,0,56.0,-9.882274283250098,-9.8823,-11.2,0.0,1.3177
model_a,38,21.29752057818962,19.316748935183934,0.06409452331437789,2,2,60.0,-10.84215594206299,-10.8422,-12.0,0.0,1.1578
model_a,39,19.316748935183934,19.316748935183934,0.0,0,0,60.0,-10.84215594206299,-10.8422,-12.0,0.0,1.1578
model_a,40,19.316748935183934,19.344209700974556,0.09153588596873698,0,0,60.0,-10.839939526175804,-10.8399,-12.0,0.0,1.1601
model_a,41,19.344209700974556,19.56814318153568,0.7464449352037505,0,0,60.0,-10.821853688463301,-10.8219,-12.0,0.0,1.1781
model_a,42,19.56814318153568,19.945295971886992,1.2571759678377052,0,0,60.0,-10.79136261701429,-10.7914,-12.0,0.0,1.2086
model_a,43,19.945295971886992,20.406421186686913,1.5370840493330722,0,0,60.0,-10.754079189070133,-10.7541,-12.0,0.0,1.2459
model_a,44,20.406421186686913,21.023533944960345,2.057042527578111,0,0,60.0,-10.704295285023726,-10.7043,-12.0,0.0,1.2957
model_a,45,21.023533944960345,20.755484792269808,2.4398361576982057,1,1,62.0,-11.125894346957576,-11.1259,-12.4,0.0,1.2741
model_a,46,20.755484792269808,21.336959127926566,1.9382477855225257,0,0,62.0,-11.079110126043492,-11.0791,-12.4,0.0,1.3209
model_a,47,21.336959127926566,20.746264401067343,1.3643509104692637,1,1,64.0,-11.52663810845079,-11.5266,-12.8,0.0,1.2734
model_a,48,20.746264401067343,21.04277728841548,0.9883762911604527,0,0,64.0,-11.502746604770492,-11.5027,-12.8,0.0,1.2973
model_a,49,21.04277728841548,21.459128511878042,1.387837411541878,0,0,64.0,-11.469318550453421,-11.4693,-12.8,0.0,1.3307
model_a,50,21.459128511878042,20.81545199830123,1.1877449547439705,1,1,66.0,-11.921058281079295,-11.9211,-13.2,0.0,1.2789
model_a,51,20.81545199830123,21.732356498119753,3.056348332728409,0,0,66.0,-11.84748125158519,-11.8475,-13.2,0.0,1.3525
model_a,52,21.732356498119753,20.45263078781352,2.400914298979214,2,2,70.0,-12.750345279623705,-12.7503,-14.0,0.0,1.2497
model_a,53,20.45263078781352,20.909175173530766,1.5218146190574875,0,0,70.0,-12.713504350567174,-12.7135,-14.0,0.0,1.2865
model_a,54,20.909175173530766,20.55015320296074,2.1365934314332446,1,1,72.0,-13.14246750452885,-13.1425,-14.4,0.0,1.2575
model_a,55,20.55015320296074,21.532375227913146,3.274073416508017,0,0,72.0,-13.063455749885915,-13.0635,-14.4,0.0,1.3365
model_a,56,21.532375227913146,20.635963498666975,3.678627569179425,2,2,76.0,-13.935538967263405,-13.9355,-15.2,0.0,1.2645
model_a,57,20.635963498666975,21.940147932453044,4.347281445953564,0,0,76.0,-13.830938395476021,-13.8309,-15.2,0.0,1.3691
model_a,58,21.940147932453044,21.58665516082523,5.488357427907293,2,2,80.0,-14.6591150542272,-14.6591,-16.0,0.0,1.3409
model_a,59,21.58665516082523,21.210595794953505,5.41313544709425,2,2,84.0,-15.489253520640371,-15.4893,-16.8,0.0,1.3107
model_a,60,21.210595794953505,20.493026285128426,4.274768300583069,2,2,88.0,-16.34708174659863,-16.3471,-17.6,0.0,1.2529
model_a,61,20.493026285128426,19.647758403706856,3.8491070619280983,2,2,92.0,-17.21541951932604,-17.2154,-18.4,0.0,1.1846
model_a,62,19.647758403706856,21.031185504041265,4.611423667781359,0,0,92.0,-17.103679463136213,-17.1037,-18.4,0.0,1.2963
model_a,63,21.031185504041265,20.068129786916884,3.456480942918729,2,2,96.0,-17.98142901122475,-17.9814,-19.2,0.0,1.2186
model_a,64,20.068129786916884,21.113121586781446,3.483305999548538,0,0,96.0,-17.897087862600678,-17.8971,-19.2,0.0,1.3029
model_a,65,21.113121586781446,20.218890352888103,3.685895887022187,2,2,100.0,-18.769238113614133,-18.7692,-20.0,0.0,1.2308
model_a,66,20.218890352888103,21.248916999439476,3.4334221551712507,0,0,100.0,-18.686175820312194,-18.6862,-20.0,0.0,1.3138
model_a,67,21.248916999439476,20.452615322719193,4.012327744265728,2,2,104.0,-19.550346529147596,-19.5503,-20.8,0.0,1.2497
model_a,68,20.452615322719193,21.795700783965287,4.476951537486981,0,0,104.0,-19.442431925117113,-19.4424,-20.8,0.0,1.3576
model_a,69,21.795700783965287,21.69592428926756,6.334078351007566,2,2,108.0,-20.250387741909186,-20.2504,-21.6,0.0,1.3496
model_a,70,21.69592428926756,21.744940058835383,6.830052565226074,2,2,112.0,-21.046477761284113,-21.0465,-22.4,0.0,1.3535
model_a,71,21.744940058835383,21.64769899832887,6.342529798311625,2,2,116.0,-21.854237667172807,-21.8542,-23.2,0.0,1.3458
model_a,72,21.64769899832887,21.41562651566219,5.8930917244444005,2,2,120.0,-22.67280332879731,-22.6728,-24.0,0.0,1.3272
model_a,73,21.41562651566219,20.983974568697427,5.227826843450796,2,2,124.0,-23.507479851115445,-23.5075,-24.8,0.0,1.2925
model_a,74,20.983974568697427,20.780868276088462,5.989645691303452,2,2,128.0,-24.323847037974705,-24.3238,-25.6,0.0,1.2762
model_a,75,20.780868276088462,20.44172210312421,5.5361794234524915,2,2,132.0,-25.1512266814905,-25.1512,-26.4,0.0,1.2488
model_a,76,20.44172210312421,20.085713344471813,5.479970804492013,2,2,136.0,-25.980007053278438,-25.98,-27.2,0.0,1.22
model_a,77,20.085713344471813,19.90953721444894,6.079412899923753,2,2,140.0,-26.794254385747553,-26.7943,-28.0,0.0,1.2057
model_a,78,19.90953721444894,19.559729966669728,5.5006425074026275,2,2,144.0,-27.622533502169382,-27.6225,-28.8,0.0,1.1775
model_a,79,19.559729966669728,19.139444807622265,5.265716136508453,2,2,148.0,-28.45645720758651,-28.4565,-29.6,0.0,1.1435
model_a,80,19.139444807622265,18.27725094482986,3.7926871240253197,2,2,152.0,-29.32566486676184,-29.3257,-30.4,0.0,1.0743
model_a,81,18.27725094482986,19.155262213468163,2.926704228794349,0,0,152.0,-29.255182093760833,-29.2552,-30.4,0.0,1.1448
model_a,82,19.155262213468163,18.897016743180423,2.4725150990408693,1,1,154.0,-29.67598008424108,-29.676,-30.8,0.0,1.124
model_a,83,18.897016743180423,19.738553910136684,2.8051238898542064,0,0,154.0,-29.60807989149675,-29.6081,-30.8,0.0,1.1919
model_a,84,19.738553910136684,19.86652946247934,3.759918507808844,1,1,156.0,-29.99773225943356,-29.9977,-31.2,0.0,1.2023
model_a,85,19.86652946247934,19.9900729796627,3.745145057277875,1,1,158.0,-30.38774148608344,-30.3877,-31.6,0.0,1.2123
model_a,86,19.9900729796627,20.176343923854013,3.954236480637717,1,1,160.0,-30.772678273301654,-30.7727,-32.0,0.0,1.2273
model_a,87,20.176343923854013,20.402927516496664,4.088611975475502,1,1,162.0,-31.15436151736477,-31.1544,-32.4,0.0,1.2456
model_a,88,20.402927516496664,20.889848976368178,4.956404866238385,1,1,164.0,-31.515061546924755,-31.5151,-32.8,0.0,1.2849
model_a,89,20.889848976368178,20.591175683936864,5.67108902522895,2,2,168.0,-32.33915484846942,-32.3392,-33.6,0.0,1.2608
model_a,90,20.591175683936864,20.35818878720336,5.890043677554984,2,2,172.0,-33.157977221288334,-33.158,-34.4,0.0,1.242
model_a,91,20.35818878720336,19.88257525764298,5.081288234798734,2,2,176.0,-33.996434714498314,-33.9964,-35.2,0.0,1.2036
model_a,92,19.88257525764298,19.623774203525304,5.80399648627441,2,2,180.0,-34.817358005060754,-34.8174,-36.0,0.0,1.1826
model_a,93,19.623774203525304,19.456424460117006,6.108834188639012,2,2,184.0,-35.630878979979826,-35.6309,-36.8,0.0,1.1691
model_a,94,19.456424460117006,19.583540688640124,7.090387428410388,2,2,188.0,-36.420609466638254,-36.4206,-37.6,0.0,1.1794
