step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
83,18.324041480386512,19.202052749024816,2.926704228794349,0,0,166.0,-32.05140924069039,-32.0514,-33.2,0.0,1.1486
84,19.202052749024816,18.943807278737076,2.4725150990408693,1,1,168.0,-32.47221520771979,-32.4722,-33.6,0.0,1.1278
85,18.943807278737076,19.785344445693337,2.8051238898542064,0,0,168.0,-32.404296856523814,-32.4043,-33.6,0.0,1.1957
86,19.785344445693337,19.91331999803599,3.759918507808844,1,1,170.0,-32.793948479830945,-32.7939,-34.0,0.0,1.2061
87,19.91331999803599,20.036863515219352,3.745145057277875,1,1,172.0,-33.18395750628612,-33.184,-34.4,0.0,1.216
88,20.036863515219352,20.223134459410666,3.954236480637717,1,1,174.0,-33.56889496439354,-33.5689,-34.8,0.0,1.2311
89,20.223134459410666,20.449718052053317,4.088611975475502,1,1,176.0,-33.9505806195666,-33.9506,-35.2,0.0,1.2494
90,20.449718052053317,20.93663951192483,4.956404866238385,1,1,178.0,-34.31129186170801,-34.3113,-35.6,0.0,1.2887
91,20.93663951192483,20.637966219493517,5.67108902522895,2,2,182.0,-35.135377301770525,-35.1354,-36.4,0.0,1.2646
92,20.637966219493517,20.404979322760013,5.890043677554984,2,2,186.0,-35.954195707641716,-35.9542,-37.2,0.0,1.2458
93,20.404979322760013,19.929365793199633,5.081288234798734,2,2,190.0,-36.79265088000967,-36.7927,-38.0,0.0,1.2073
94,19.929365793199633,19.670564739081957,5.80399648627441,2,2,194.0,-37.613576099060055,-37.6136,-38.8,0.0,1.1864
95,19.670564739081957,19.50321499567366,6.108834188639012,2,2,198.0,-38.427099493733856,-38.4271,-39.6,0.0,1.1729
96,19.50321499567366,19.630331224196777,7.090387428410388,2,2,202.0,-39.21682805889358,-39.2168,-40.4,0.0,1.1832
97,19.630331224196777,19.7502698704764,7.066462154265417,2,2,206.0,-40.007132686493804,-40.0071,-41.2,0.0,1.1929
98,19.7502698704764,20.33895273863215,8.628942893852493,2,2,210.0,-40.75953200838899,-40.7595,-42.0,0.0,1.2405
99,20.33895273863215,20.841505285110657,8.341841821595034,2,2,214.0,-41.51895787334092,-41.519,-42.8,0.0,1.281
